"miejsce_id","kategoria","nazwa","wezwanie","typ","kul_ob","komentarz","wikikul_type","wikikul_id"
22816,jednostka,Niezamyśl,"WnNMP, Mikołaj Bp",parafia,13695,,Q2,Q3201
22818,jednostka,Słomowo,WnNMP,parafia,15785,,Q2,Q3202
22819,jednostka,Oborniki,WnNMP,parafia,15618,,Q2,Q3203
22820,jednostka,Rogoźno,"Wit, Modest MM, Krescencja PM, NPNMP",parafia,15636,,Q2,Q3204
22822,jednostka,Czarnków,Maria Magdalena,parafia,15596,,Q2,Q3205
22838,jednostka,Cerkwica,"Wojciech Bp, Katarzyna PM",parafia,15673,,Q2,Q3217
22839,jednostka,Sobota,NarNMP,parafia,15789,,Q2,Q3218
22840,jednostka,Słupia,Wszyscy Św,parafia,15787,,Q2,Q3219
22842,jednostka,Stęszew,Św. Trójca,parafia,15644,,Q2,Q3220
22844,jednostka,Giecz,WnNMP,parafia,13531,,Q2,Q3222
22845,jednostka,Kostrzyn,Piotr i Paweł AAp,parafia,15724,,Q2,Q3223
22846,jednostka,Konarzewo,"Marcin Bp, Piotr wO",parafia,15607,,Q2,Q3224
22847,jednostka,Stobnica,WnNMP,parafia,15793,,Q2,Q3225
22849,jednostka,Kazimierz,NarNMP,parafia,15712,,Q2,Q3226
22850,jednostka,Ryczywół,Mikołaj Bp,parafia,15637,,Q2,Q3227
22852,jednostka,Śmieciska,Marcin Bp,parafia,13675,,Q2,Q3228
22853,jednostka,Siekierki Wielkie,Jadwiga Wd,parafia,15782,,Q2,Q3229
22854,jednostka,Nietrzanowo,Wszyscy Św,parafia,13619,,Q2,Q3230
22855,jednostka,Kaczanowo,Marcin Bp,parafia,13559,,Q2,Q3231
22856,jednostka,Sokolniki,Jakub W Ap,parafia,13660,,Q2,Q3232
22857,jednostka,Margonin,Wojciech Bp,parafia,13990,,Q2,Q3233
22858,jednostka,Łukowo,Michał A,parafia,15741,,Q2,Q3234
22860,jednostka,Komorniki,Andrzej Ap,parafia,15719,,Q2,Q3235
22862,jednostka,Wszeborz,Mikołaj Bp,parafia,13690,,Q2,Q3236
22863,jednostka,Ujście,Mikołaj Bp,parafia,15801,,Q2,Q3237
22864,jednostka,Miłosław,Jakub W Ap,parafia,13612,,Q2,Q3238
22866,jednostka,Kicina,Józef OblNMP,parafia,15715,,Q2,Q3239
22867,jednostka,Biechowo,NawNMP,parafia,13497,,Q2,Q3240
22868,jednostka,Dupiewo,Mikołaj Bp,parafia,15691,,Q2,Q3241
22869,jednostka,Swarządz,Marcin Bp,parafia,15647,,Q2,Q3242
22870,jednostka,Goślina Długa,Maria Magdalena,parafia,15687,,Q2,Q3243
22871,jednostka,Bardo,Jan Ch,parafia,13493,,Q2,Q3244
22872,jednostka,Poznań - św. Maria Magdalena,"NMP, Maria Magdalena",parafia,15626,,Q2,Q3245
22873,jednostka,Murzynowo Kościelne,Jan Ch,parafia,13616,,Q2,Q3246
22875,jednostka,Biała,Wszyscy Św,parafia,15659,,Q2,Q3248
22876,jednostka,Parkowo,Małgorzata PM,parafia,15763,,Q2,Q3249
22879,jednostka,Bagrowo,Katarzyna PM,parafia,13492,,Q2,Q3250
24016,jednostka,Borówko,,parafia,15829,W XVI wieku parafia w stanie upadku; w XVIII wieku jako świątynia pomocnicza parafii Czempiń,Q2,Q3627
24055,obiekt,Grodzisko,Św. Duch,kościół szpitalny,15875,,Q2909,Q3662
24056,obiekt,Poznań,Barbara,kościół filialny,15957,,Q2906,Q3668
22914,jednostka,Lubasz,Wawrzyniec M,parafia,15733,,Q2,Q2995
