"id","slownik_id","typ","haslo_id","komentarz"
316,1958,instytucja,463,
317,23900,miejsce,465,
318,2014,instytucja,466,
319,2384,instytucja,467,
321,2385,instytucja,468,
322,49,osoba,468,
323,50,osoba,469,
324,51,osoba,470,
325,2385,instytucja,469,
326,2385,instytucja,470,
327,52,osoba,471,
328,2385,instytucja,471,
329,2385,instytucja,472,
330,2386,instytucja,472,
331,53,osoba,473,
332,2385,instytucja,473,
333,54,osoba,474,
334,2385,instytucja,474,
335,2385,instytucja,475,
336,2385,instytucja,476,
337,55,osoba,475,
338,56,osoba,476,
339,2385,instytucja,477,
340,8459,miejsce,478,
341,57,osoba,477,
342,58,osoba,478,"Jerzy Konarski, kasztelan kaliski (1552-1565), Urzędnicy wielkopolscy XVI-XVIII wieku, s. 52."
343,2387,instytucja,478,
344,2385,instytucja,479,
346,60,osoba,480,
347,2385,instytucja,480,
352,2070,instytucja,481,
353,2059,instytucja,482,
354,2388,instytucja,483,
356,2389,instytucja,484,
357,2389,instytucja,485,
358,61,osoba,484,
359,62,osoba,485,
360,2389,instytucja,486,
361,63,osoba,486,
362,2389,instytucja,487,
363,2092,instytucja,488,
364,2390,instytucja,489,
365,2095,instytucja,490,
366,2101,instytucja,491,
367,2391,instytucja,492,
368,64,osoba,493,
369,2392,instytucja,493,
370,2392,instytucja,494,
371,65,osoba,494,
372,2012,instytucja,495,
373,2056,instytucja,496,
374,491,instytucja,497,
375,2034,instytucja,498,
376,2393,instytucja,499,
377,2394,instytucja,500,
378,2394,instytucja,501,
379,66,osoba,500,
380,67,osoba,501,
381,1991,instytucja,502,
382,2026,instytucja,503,
383,2395,instytucja,504,
385,68,osoba,505,
386,2396,instytucja,505,
387,2396,instytucja,506,
388,2396,instytucja,507,
389,69,osoba,506,
390,2396,instytucja,508,
391,70,osoba,507,
392,71,osoba,508,
395,2397,instytucja,509,
403,2399,instytucja,512,
396,71,osoba,509,
397,2020,instytucja,510,
402,2398,instytucja,511,
404,2399,instytucja,513,
405,72,osoba,512,
406,73,osoba,513,
407,2399,instytucja,514,
408,74,osoba,514,
409,2400,instytucja,514,
412,75,osoba,515,
413,2399,instytucja,515,
418,2399,instytucja,516,
419,76,osoba,516,
420,490,instytucja,517,
421,2036,instytucja,518,
422,2024,instytucja,519,
423,2025,instytucja,520,
424,2074,instytucja,521,
425,77,osoba,522,
426,2401,instytucja,522,
427,2081,instytucja,523,
428,2402,instytucja,524,
429,2016,instytucja,525,
430,2084,instytucja,526,
431,2045,instytucja,527,
432,2046,instytucja,528,
433,2067,instytucja,529,
434,2403,instytucja,530,
435,2404,instytucja,531,
436,78,osoba,531,
437,2404,instytucja,532,
438,2404,instytucja,533,
439,79,osoba,532,
440,2404,instytucja,534,
441,80,osoba,533,
442,81,osoba,534,
444,2403,instytucja,535,
445,2404,instytucja,536,
446,82,osoba,536,
447,2404,instytucja,537,
448,83,osoba,537,
449,2404,instytucja,538,
450,2018,instytucja,539,
451,2098,instytucja,540,
452,2102,instytucja,541,
453,1999,instytucja,542,
454,1980,instytucja,543,
455,2042,instytucja,544,
459,2405,instytucja,545,
460,2406,instytucja,546,
461,84,osoba,538,
462,85,osoba,546,
463,2043,instytucja,547,
464,2011,instytucja,548,
467,23900,miejsce,549,
468,2023,instytucja,550,
469,492,instytucja,551,
470,2020,instytucja,552,
471,2006,instytucja,553,
472,2097,instytucja,554,
473,2032,instytucja,557,
474,2096,instytucja,555,
475,2407,instytucja,556,
476,23900,miejsce,558,
477,2101,instytucja,559,
478,86,osoba,560,z wdową
479,2391,instytucja,561,
480,2097,instytucja,562,
481,2408,instytucja,563,
485,1997,instytucja,565,
486,37,osoba,565,
487,2409,instytucja,567,
488,75,osoba,566,
489,63,osoba,568,
490,2410,instytucja,568,
491,78,osoba,569,
492,2410,instytucja,569,
493,2410,instytucja,570,
494,87,osoba,570,
495,88,osoba,571,
496,2410,instytucja,571,
497,2410,instytucja,572,
498,89,osoba,572,
499,90,osoba,573,
500,2410,instytucja,573,
501,2410,instytucja,574,
503,91,osoba,574,
504,92,osoba,575,
505,2410,instytucja,575,
506,2410,instytucja,576,
508,2411,instytucja,576,
509,2410,instytucja,577,
510,93,osoba,576,
511,94,osoba,577,
513,61,osoba,578,
514,2410,instytucja,578,
516,2410,instytucja,579,
517,2410,instytucja,582,
518,95,osoba,579,
519,96,osoba,582,
520,2410,instytucja,583,
521,97,osoba,583,
522,98,osoba,584,
523,2410,instytucja,584,
524,2410,instytucja,585,
525,54,osoba,585,
526,99,osoba,597,
527,2410,instytucja,597,
528,2410,instytucja,586,
529,100,osoba,586,
530,2410,instytucja,587,
531,101,osoba,587,
532,2410,instytucja,588,
533,102,osoba,588,
534,2410,instytucja,589,
536,103,osoba,589,
537,2410,instytucja,590,
538,2410,instytucja,591,
540,104,osoba,590,
541,105,osoba,591,
539,2056,instytucja,592,
542,105,osoba,592,
544,106,osoba,593,
545,2410,instytucja,593,
546,2410,instytucja,594,
547,2409,instytucja,595,
550,2412,instytucja,596,
551,107,osoba,594,
553,2413,instytucja,598,
554,108,osoba,596,
555,88,osoba,599,
556,2414,instytucja,599,
557,2414,instytucja,600,
559,96,osoba,600,
560,91,osoba,601,
561,2414,instytucja,601,
562,2414,instytucja,602,
565,90,osoba,602,
566,2414,instytucja,603,
567,109,osoba,603,
568,2414,instytucja,604,
571,2414,instytucja,605,
572,94,osoba,604,
573,107,osoba,605,
574,2055,instytucja,606,
575,2050,instytucja,607,
576,2415,instytucja,608,
578,2416,instytucja,609,
579,2416,instytucja,610,
580,93,osoba,609,
581,110,osoba,610,
582,2416,instytucja,611,
583,2416,instytucja,612,
584,2417,instytucja,612,
585,111,osoba,611,
586,112,osoba,612,
587,2052,instytucja,613,
588,2007,instytucja,614,
589,2003,instytucja,615,
596,2073,instytucja,617,
597,476,instytucja,618,
598,1995,instytucja,619,
599,2051,instytucja,620,
600,2418,instytucja,621,
601,113,osoba,616,
602,2419,instytucja,622,
608,73,osoba,622,
609,2419,instytucja,623,
610,1983,instytucja,624,
611,2087,instytucja,625,
612,2041,instytucja,626,
613,2004,instytucja,627,
614,1986,instytucja,629,
615,2031,instytucja,630,
616,2064,instytucja,631,
617,2017,instytucja,632,
618,2061,instytucja,633,
619,2078,instytucja,634,
620,475,instytucja,635,
621,2047,instytucja,636,
622,2086,instytucja,637,
623,23924,miejsce,564,
624,23924,miejsce,639,
625,2049,instytucja,638,
626,2409,instytucja,640,
628,114,osoba,623,
629,2409,instytucja,641,
630,115,osoba,641,
631,116,osoba,642,
632,2410,instytucja,642,
633,1994,instytucja,643,
634,2420,instytucja,644,
635,2421,instytucja,646,
636,489,instytucja,647,
637,2054,instytucja,648,
638,2029,instytucja,649,
639,2051,instytucja,650,
640,2422,instytucja,651,
641,2423,instytucja,652,
642,1992,instytucja,653,
643,494,instytucja,654,
644,484,instytucja,655,
645,1990,instytucja,656,
646,2071,instytucja,657,
647,483,instytucja,658,
648,486,instytucja,659,
649,2009,instytucja,660,
651,23990,miejsce,661,
652,117,osoba,662,
653,2060,instytucja,662,
654,2424,instytucja,663,
655,2425,instytucja,664,
656,118,osoba,664,
657,2425,instytucja,665,
658,2077,instytucja,666,
659,2015,instytucja,667,
660,2426,instytucja,669,
664,119,osoba,665,
665,2427,instytucja,670,
666,120,osoba,670,
667,2427,instytucja,671,
668,2053,instytucja,672,
669,2019,instytucja,673,
670,2068,instytucja,674,
671,2093,instytucja,675,
672,1982,instytucja,676,
673,1993,instytucja,677,
674,2062,instytucja,678,
675,488,instytucja,679,
676,121,osoba,671,
677,122,osoba,681,
678,2057,instytucja,680,
679,2040,instytucja,682,
680,1989,instytucja,683,
681,2002,instytucja,684,
682,2428,instytucja,685,
683,2048,instytucja,686,
684,2088,instytucja,687,
685,2089,instytucja,688,
686,2085,instytucja,689,
687,2001,instytucja,690,
689,2429,instytucja,690,
690,2090,instytucja,691,
693,485,instytucja,692,
694,1987,instytucja,693,
695,2013,instytucja,694,
696,2072,instytucja,695,
697,2082,instytucja,696,
698,2066,instytucja,697,
699,2079,instytucja,698,
700,2430,instytucja,699,
701,2431,instytucja,700,
703,123,osoba,685,
705,124,osoba,700,
706,125,osoba,701,
707,2431,instytucja,701,
709,2430,instytucja,703,
711,2432,instytucja,705,
712,126,osoba,704,
714,2433,instytucja,706,
715,127,osoba,706,
716,2433,instytucja,707,
717,128,osoba,707,
718,2433,instytucja,708,
719,129,osoba,708,
720,125,osoba,709,
721,2433,instytucja,709,
722,2433,instytucja,710,
723,2434,instytucja,711,
724,2434,instytucja,712,
725,481,instytucja,714,
726,2435,instytucja,715,
727,130,osoba,710,
728,131,osoba,716,
729,2058,instytucja,716,
730,2436,instytucja,717,
731,132,osoba,717,
732,2437,instytucja,717,
733,1979,instytucja,718,
734,482,instytucja,719,
